ID,REFERENCE,TYPE,NAME,DATE,FLAVOR_TEXT,INSPIRATION,NARRATOR,STORY
a20e6bc6-ea4f-470d-a0cf-cfd3cfa7beb6,ALT_CYCLONE_A_AX_74_C,Character,"Lucan, Hungry Leviathan",,"Il jaillit d'entre les rochers pour grignoter nos bijoux.",,SIERRA,"393 AC - Les bâtiments se sont mis en ordre de bataille pour procéder à l'évacuation de l'îlot. Les alarmes tonnent, assourdissantes. Halua causait déjà suffisamment de dommages, et maintenant, un autre Léviathan ? Mais petit à petit, une autre vibration se met à couvrir les sirènes. Ça ne me dit rien qui vaille. Les nuages explosent soudain, et le coléoptère jaillit dans notre direction. Son bourdonnement est digne d'une turbine lancée à plein régime. Il nous a pris par surprise, alors qu'on était en train de mettre à jour un important gisement d'aérolithe — le plus gros à ce jour. Il s'est précipité, ses appendices et ses mandibules tailladant dans la roche, sans prêter attention aux explosions. Sa chitine est trop résistante, même face à des chapelets de déflagrations...

Les élytres du monstre se mettent à vrombir de plus belle, chargeant l'air de stridulations grinçantes et glaçantes. Le Léviathan-Scarabée fonce vers le bloc que nous avons arrimé au zeppelin. Sa carapace striée renvoie la lumière du soleil, tandis que ses ailes irisées fouettent l'air en scintillant. Je le vois, impuissante, éventrer de sa corne le ballon d'un dirigeable. Je le vois se dégonfler, comme éperonné par la lance d'un chevalier. Mais... contrairement à Halua, ce n'est pas nous qu'il vise. C'est la veine d'Aérolithe, que l'on promène avec nous comme un morceau de viande au bout d'un hameçon. Sauf que le poisson qu'on a ferré est bien trop gros. Oddball bipe à côté de moi, et j'acquiesce. Je file vers la timonerie. Il faut absolument convaincre le capitaine de larguer la cargaison."
fe4fd93f-8333-4db5-bf51-6991837510c9,ALT_CYCLONE_A_AX_76_C,Spell,"Axiom Signet",,"L'innovation, gravée sur chrome.",,INCONNU,"393 AC - Rien ne se crée, tout se transforme. Ainsi va l'adage. Rien ne se perd, tout se recycle. Telle est la loi universelle. Sous les poinçons successifs des différents ingénieurs, artisans et ouvriers de l'Axiom se cache la vie en perpétuel changement d'un bout de métal, d'une pièce d'engrenage, d'un levier... Rien ne doit se perdre, tout élément doit être utilisé, et réutilisé jusqu'à ce que l'usure ne le rende inexploitable. Alors, il sera fondu, forgé de nouveau, pour amorcer un autre cycle d'existence, sous une même forme, ou bien une forme différente. Mais avant cela, il n'est pas rare qu'une pièce comporte tellement de poinçons différents — certains se superposant les uns sur les autres — qu'ils donnent ensemble un aspect ésotérique à une plaque, un cerclage ou une manette.

Le recyclage est une philosophie qui fait perdurer l'équilibre entre le changeant et l'inerte. Elle code une création dans l'existant, la nouveauté dans l'ancien, le vivant dans la destruction. Ce cycle est une vie éternelle où chaque once de matière aboutit à une nouvelle transformation. Ce cycle est un rythme, une cadence, dont la finalité se trouve dans la métamorphose et dans le renouveau. Chaque poinçon est la marque d'une vie, et le témoin de l'étape du voyage dans lequel il est ancré. Plus la pièce est usée, patinée, gravée, plus elle est avancée au sein de son odyssée. Elle mérite alors le respect, par toutes les interactions qu'elle a connues. Les anciens parlaient du cycle des réincarnations. Il en va de même pour les objets..."
10477249-2daa-4321-bcce-5457faf5e0bf,ALT_CYCLONE_A_BR_77_C,Character,"Halua, Raging Leviathan",,"Sa gaieté nous fit faire escale.",,HALUA,"393 AC - Même à des kilomètres, je peux la sentir imprégner leur chair. Des effluves capiteux et sucrés qui dérivent dans le sillage de leurs navires chétifs, de leurs embarcations de fortune. Ils sont comme les autres. Des sangsues, des parasites, tout juste bons à ponctionner le suc jusqu'à ce que la pousse flétrisse. Je les vois qui grignotent, comme une nuée de sauterelles. Ils se posent sur une île et creusent, rongent, dévorent la pierre veinée de rouge jusqu'à ce que l'atoll cesse de voler. Il s'abîme alors sous les nuages, faisant disparaître le biome tout entier, privant les oiseaux de leur terrain de nidification, d'une étape de leur migration. Ces humains… Ils volent sans rendre, ignorant la dévastation qu'ils causent. Des nuisibles. 

Comment ai-je pu leur faire confiance ? Ils m'ont vu naître. Ils m'ont témoigné de l'affection. Mais c'était pour mieux me berner. C'était pour mieux m'évincer. Et cette tribu humaine ne vaut pas mieux que la précédente. Non, ils ne doivent pas arriver à bon port. Je ne dois pas le permettre. Alors je les suis, caché au sein des nuages. Et j'attends patiemment. J'attends qu'un vaisseau s'écarte des autres, pour l'isoler du reste du troupeau. Pour le briser, le réduire en miettes, pour l'attirer de par le fond. Pour le faire disparaître corps et âme, d'une simple pichenette. C'est tout ce qu'ils méritent. Que disaient-ils, déjà ? ""Qui sème le vent..."" Oui, je m'assurerai qu'ils récoltent leur dû, en me faisant tempête, en faisant rugir ma juste colère."
4203479f-8c90-43bf-9948-78eb77b181d3,ALT_CYCLONE_A_BR_79_C,Spell,"Bravos Signet",,"L'audace, inscrite dans la chair.",,INCONNU,"384 AC - Nous sommes Bravos. Le courage, l'exploit, la camaraderie... on les a dans la peau ! On les arbore fièrement, comme un défi, un emblème, un avertissement. Par l'encre, par la braise, dans chacune de nos cicatrices, il y a une histoire. Indélébile. Nous sommes Bravos. C'est une revendication, un engagement entier qui ne peut être renié. Pas de marche arrière, toujours vers l'avant, vers la nouvelle épreuve, le nouvel obstacle. Nous sommes Bravos, et nos tatouages racontent qui on est. Le passage de l'aiguille n'est que le rappel de ce à quoi on a dû faire face, ce qui nous a marqués, ce qui nous a définis. La douleur n'est qu'un écho, une réminiscence, et aussi un moyen de revivre l'adversité dans le creuset de son âme.

Quand je tatoue un athlète sur la cuisse, il a vécu bien pire à l'entraînement. Quand je tatoue le nom d'un défunt au-dessus du cœur, c'est la promesse que les survivants se souviendront. Quand on est Bravos, on clame sa vie haut et fort, à qui veut l'entendre, et parfois, dès le premier coup d'œil. Sous l'aiguille se dessine la rage, la résilience, le triomphe, les revers. Car les haut faits sont toujours des brûlures éternelles, rougeoyantes, vivantes, aussi vives que les déconvenues. Sol prend place en face de moi. Elle a grandi, la petiote. On m'a raconté que lors de son Imhallat, c'est le Chaperon Rouge qui lui avait témoigné son soutien. Elle aussi est Bravos, désormais. Et cette vérité, je vais la lui graver dans la chair."
0df4477a-fab0-4cef-a600-d5df45cfeecb,ALT_CYCLONE_A_LY_74_C,Character,"Koi, Playful Leviathan",,"Sa pirouette enjouée éclaboussa notre route.",,NADIR,"393 AC - Sa silhouette chamarrée se reflète dans l'eau stagnante des rizières, gorgées d'eau après la récente pluie. J'ouvre grand les yeux pour pas perdre une seule miette du spectacle. Et quel spectacle ! Ses nageoires bariolées de couleurs pastel chassent les nuages à chacune de leurs ondulations, comme la dentelle ondoyante de celles d'un poisson combattant. Alors qu'il pirouette dans le ciel, comme les banderoles en forme de poisson qu'on déploie souvent au moment du Ryukkōsai, ses moustaches fouettent l'air autour de lui, comme celles d'un poisson chat. Mais on peut vraiment pas se tromper, le facétieux Léviathan a choisi avant tout l'apparence d'une carpe aussi grande qu'une montagne pour exprimer son existence dans le monde. Ses écailles irisées reflètent les rayons du soleil, et se mettent à chatoyer.

On dirait qu'il danse, ou qu'il fait sa parade nuptiale. Mais je sais qu'il est en train de jouer avec mon alter ego. Je peux d'ailleurs voir les points scintillants que forme Bubbles en tournant autour de lui, et le Koï gigantesque le suit allègrement, aussi curieux qu'espiègle. Chimères et Léviathans n'étaient pas si différents que ça, en fin de compte. Je savais pas encore si les autres humains suspectaient leur affiliation. Ils savaient sûrement que les deux étaient proches du Mana et du Tumulte, et pouvaient y patauger à loisir, comme si c'était un simple océan. Mais est-ce qu'ils savaient quelle était leur véritable nature, et quel était leur rôle ? Je sors mon calepin et mon fusain, prêt à croquer son ballet aérien. Il fallait que je le montre à Zaza."
53deeac8-40a7-44b1-80f0-41e71c6569bb,ALT_CYCLONE_A_LY_78_C,Spell,"Lyra Signet",,"L'imagination, puisée des rêves.",,INCONNU,"""Il part dans le néant, où tout n'est que chaos ;
Entrant dans le Tumulte, il en accepte l'essence ;
Mieux, il s'en réjouit, lui confiant tous ses sens ;
Il laisse pénétrer l'énergie, dans son âme, sur sa peau ;

À l'instant, sur le vif, la mutation s'opère ;
L'initié enthousiaste, comprend que sa nature ;
Loin d'être figée, unique, n'en est qu'une signature ;
Multiple et changeante, sans cesse se régénère ;

Il accepte le fardeau de sa vive mutation ;
Signe de sa Faction, source de son pouvoir ;
De tous il souhaite la joie, ainsi que les émouvoir ;
De la magie qu'il crée, l'art est son expression ;

Revenu de ce voyage, dans une dimension autre ;
Il veut louer l'Ignescence, la force du changement ;
Au regard de la puissance de ses sentiments ;
Du Tumulte sculpté, il en devient l'apôtre."""
9353af8b-f86a-4373-82ab-5c4303ebc6a4,ALT_CYCLONE_A_MU_74_C,Character,"Zaratan, Social Leviathan",,"Nous zigzaguions entre les buissons quand l'un d'eux vint à notre rencontre.",,TEIJA,"393 AC - Je me tiens devant lui, parée de mes tenues cérémonielles. Sig a insisté pour que je sois entourée d'une garde rapprochée du Tagmata, mais je sais que ce ne sont pas quelques soldats qui feront la différence, si le Léviathan venait à se montrer agressif. Non, tout ce que je ressens dans le Skein est un mélange de curiosité et d'allégresse. S'il venait à fracasser notre esquif, ce serait par jeu ou maladresse. Mais le résultat serait le même, en fin de compte... Sa tête approche de nous, gigantesque. Notre embarcation toute entière pourrait entrer dans un de ses naseaux, et sans même toucher les parois. Nous sommes de simples fourmis face à lui. Mais plus il s'avance, plus les dendrites de son Skein tâtonnent.

Je sens ses filaments se nouer aux miens, et le moins qu'on puisse dire, c'est qu'il ne me ménage pas. En échange, je demande son hospitalité. Je lui partage les notions clés de qui nous sommes —pas à travers l'intellect, mais plus vis-à-vis de notre nature profonde, dans tout ce qu'elle a de bon ou de mauvais —, même si ces notions sont au final très humaines. La pantagruélique tortue me demande si nous venons d'en dessous, de sous les nuages, et je lui réponds que non, nous venons de plus loin encore. Elle me dit, en étrécissant son œil qui ressemble à une lune miniature, que nous ressemblons à ceux qui venaient la voir, avant que l'archipel ne se disloque et s'éparpille. Avant que l'aile rouge ne les fasse abandonner ces rivages..."
ed88a308-98d0-4d28-a31f-d62e68d9b69f,ALT_CYCLONE_A_MU_79_C,Spell,"Muna Signet",,"L'empathie, nouée dans les cœurs.",,FLORE,"393 AC - Il y a une contradiction inhérente chez les Muna. Nous faisons tout pour maintenir l'équilibre de la nature, l'équité entre les espèces — animales, végétales, ou autres — pour que tous vivent en harmonie. Mais œuvrer de la sorte n'est-il pas déjà de l'interventionnisme ? Si nous suivions à la lettre les lois de la nature, nous devrions laisser les espèces croître et mourir. Il y a quelques années, Arjun m'avait dit de pousser davantage ma réflexion. Et ça m'avait pris des jours avant que je ne revienne lae trouver. Toute fière, je lui avais annoncé que ça avait à voir avec notre place dans le monde. Ne rien faire, c'était comme ne pas exister, or, on existait. Et l'être humain faisait partie de la nature. L'erreur était de penser que nous étions à part, ou au-dessus.

Au sein de la nature, il y a toujours un point d'équilibre entre coopération et compétition pour garantir la robustesse d'un milieu. Nous avons l'outil parfait pour le percevoir : le Skein. À travers ce sens, c'est comme si on entendait la nature, ses souhaits, ses complaintes. Et on l'aide à faire son œuvre. Au final, c'est comme si acceptait d'être ses instruments. Je me suis toujours demandé, en revanche, pourquoi tous les êtres humains ne recevaient pas ce don, et pourquoi seuls les Muna bénéficiaient de cette étincelle. Les cigales chantent sous les oliviers, et je m'essuie le front en soulevant mon chapeau de paille.  Je cueille une dernière tomate juteuse, qu'Arjun aurait sûrement appréciée. D'ailleurs, je crois que j'ai rêvé d'ellui hier soir..."
e971c31c-3092-4202-8bfc-2ed5c454be2a,ALT_CYCLONE_A_OR_74_C,Character,"Sagitta, Soaring Leviathan",,"Nous nous écartâmes pour éviter ses coups de bec grincheux.",,ZHEN,"393 AC - J'émerge sur le pont, tandis que les sirènes beuglent tout autour de nous. Troupiers et recrues courent vers leur poste, mais beaucoup d'entre eux ralentissent, le souffle coupé, en voyant la taille du Léviathan qui nous fait face. Et je ne les comprends que trop bien... C'est de toute évidence un oiseau, un rapace, mais sa taille... Sa serre pourrait aisément attraper l'un de nos transporteurs. À travers le Gestalt, de nombreuses informations me parviennent : ""messager sagittaire"", ""oiseau secrétaire"", ""sagittarius serpentarius""... Je contacte mes propres Rapaces, et tous me répondent avec leur ""Supero !"" pour me signifier qu'ils sont prêts. Tous sont en train de converger vers l'aire de saut. Un vent vient me fouetter le visage, tandis que Zéphyr se pose non loin de moi.

Le Léviathan se contente pour l'instant d'observer les transporteurs, qui luttent contre les turbulences de ses ailes gigantesques. Une curiosité viscéralement animale. Mais cette curiosité peut vite devenir tactile, ou pire encore, colère ou jeu. Même si nous arrivons à temps, nous ne pourrons pas tenir tête à un tel adversaire. Tout ce que nous pouvons espérer, c'est d'attirer son attention, la distraire des autres vaisseaux. Je réfléchis aux différentes tactiques possibles, aux vecteurs d'approche. Pour l'instant, l'état-major insiste pour ne pas lancer de tir de barrage, mais si cela devient nécessaire, notre action deviendra encore plus difficile... Je me retourne vers mon escouade, maintenant assemblée. Je n'ai pas besoin de discours. La tâche est suffisamment éloquente, les enjeux posés et clairs. Nous n'avons pas le choix. Supero."
37108a09-0a97-4f51-ae46-e4edc02bbc44,ALT_CYCLONE_A_OR_78_C,Spell,"Ordis Signet",,"L'union, fusionnée dans l'esprit.",,INCONNU,"393 AC - ""Unis dans la multitude. C'est là le sens ultime du Gestalt. Il est le fruit d'une harmonie consentie, partagée, immédiate, permanente. La Coalescence est l'abandon de l'individualité, au profit de la pluralité des esprits. Unis, nus dans la pensée. Unis, nus dans l'émotion. Unis, droits dans la concorde. Unis, droits dans nos vertus. Le Gestalt abolit les distances, les frontières, les obstacles physiques, et aussi les limites du soi. Le Losange qui marque notre chair est la preuve de notre engagement, du fait que nous mettons notre individualité au service de la communauté. Il n'y a pas de vœu plus fort. Notre appartenance est dévouement total et abnégation. Quand l'autre devient soi, alors l'idée de justice est évidente. Quand l'autre devient soi, nous sommes capables de déplacer des montagnes.""

J'écoute l'officiant tandis qu'il fait face à sa... congrégation. Je ressens leur communion, dans le creuset de leur esprit partagé, tandis qu'ils entrent en résonance. Il y a là quelques gens d'armes, des clercs, des politiciens, des scribes, des érudits, et bien d'autres identités qui se mêlent. Je me meus à travers elles comme une vague, indécelable. Je ne peux m'empêcher de penser à l'entité de la Cité des Sages ; elle qui en fin de compte visait une union en tout point similaire au Gestalt. Elle était la ville, et elle souhaitait que tous vivent en harmonie. En elle. En son sein. Je ne pense pas que quiconque ait perçu cette facette d'elle. Son appétit n'était pas motivé par un instinct de destruction, bien au contraire. Elle était motivée par une envie d'unité, aussi viciée fût-elle."
