ID,REFERENCE,TYPE,NAME,DATE,FLAVOR_TEXT,INSPIRATION,NARRATOR,STORY
fcb1ee8a-1d34-44cb-9e99-e23e993e671a,ALT_ALIZE_A_AX_35_C,Character,"Vaike, Energy Pioneer",,"Energy and persistence conquer all things.",,,
29630b3e-b001-47aa-8b1f-69f8cbbcaa5f,ALT_ALIZE_A_AX_46_C,LANDMARK_PERMANENT,"Icebound Hollow",,"In the caves and crevices, it wails and calls to us.",,,
5b61f800-94f4-41f4-afc8-35fb00c6e30f,ALT_ALIZE_A_BR_37_C,Character,"Gericht, Revered Duelist",,"""What doesn't kill you makes you stronger.""",,,
4f04bb9f-7998-483e-b5d4-2f72b4575a0e,ALT_ALIZE_A_BR_46_C,LANDMARK_PERMANENT,"Icebound Peak",,"On the summit it waits, for freedom, for release.",,,
ff555624-e3ed-46c0-ba5f-f308b2fb56c7,ALT_ALIZE_A_LY_34_C,Character,"Nyala, Gifted Conjurer",,"""Of course I'm cheating. That's what magic is all about.""",,,
88d544ba-0bc0-4af3-ba48-5de04a614c0f,ALT_ALIZE_A_LY_45_C,LANDMARK_PERMANENT,"Icebound Tundra",,"We can hear it, echoing in the vast expanses.",,,
2c8a01a8-1329-40d2-a494-da2d9544d59b,ALT_ALIZE_A_MU_35_C,Character,"Saskia, Sly Naturalist",,"Parasitic or symbiotic, life will always find a way to blossom... like this algae.",,,
557434b2-cda2-48a4-8091-6cb79e2f085d,ALT_ALIZE_A_MU_45_C,LANDMARK_PERMANENT,"Icebound Taiga",,"We can sense it in the woodland silences, like a tremor.",,,
6f7e61a3-fd10-4b52-978f-a026f5f2dc99,ALT_ALIZE_A_OR_38_C,Character,"Sunisa, Dedicated Ensign",,"Forward or hold. There is no going back.",,,
5cce51b3-eb8a-4261-b8b0-bb085b79d374,ALT_ALIZE_A_OR_47_C,LANDMARK_PERMANENT,"Icebound Lake",,"With a voice like thunder or crackling ice it howls.",,,
44615823-8de5-4365-9482-beb9915356e6,ALT_ALIZE_A_YZ_36_C,Character,"Aroro, Savior of Asgartha",,"Alone, she was able to turn back the tide.",,,
b96c109e-068a-47c4-9846-c569f50665a8,ALT_ALIZE_A_YZ_46_C,LANDMARK_PERMANENT,"Icebound Pass",,"We can hear it roar in the snowy passes.",,,
bc31200f-244b-4499-9205-0e580694fc72,ALT_ALIZE_B_AX_01_C,Hero,"Sierra & Oddball",,"""I don't know if there's a better reward than seeing something you've built come to life.""",,,"392 AC - Under the lake's oily surface, iridescent bubbles rise slowly from the depths in strange clusters, like thousands of undulating jellyfish. They bump into each other, burst, merge and divide before breaking through the pulpy surface with a hiss and belch of colorful miasma. I feel the pressure of the Tumult all around me, releasing ideas with each swell that breaks through, ideas seeking to express themselves in the world by any means possible. There's clearly something pulsating at the bottom of the lake. Maybe it's a Tumult singularity buried hundreds of feet below me. All I can do is protect my boat from its devastating effects by using my Construct to individually remove the parasitic ideas beginning to sprout on its hull. It will be a hard crossing. The boat's kelonic motor is sputtering under the effects of the ideas jostling and pounding against it.

I hope Oddball is doing all right. I probe into the distance, feeling his psyche answer me with a few short, miserable beeps. With my own senses, I can feel how badly his frame has been damaged by the intrusive ideas. Through our bond, I create the Eidolon of a Salvager at his side. My Alter Ego slows down, clearly relieved to have a pit stop – and he'll really need it to restore his armor, too. I leave him as I hear the first sounds of welding echoing in the twilit forest where he had been maneuvering, slaloming between the tree trunks. As for me, I'm not out of the woods yet either. Navigating this goopy lake is an interminable process, with the constant risk that, at any moment, a bubble could capsize the boat and throw me into the syrupy waters."
