ID,REFERENCE,TYPE,NAME,DATE,FLAVOR_TEXT,INSPIRATION,NARRATOR,STORY
018da8b3-9f60-f06e-6f85-04a20493ef5b,ALT_COREKS_B_AX_01_C,Hero,"Sierra & Oddball",,"""I don't know if there's a better reward than seeing something you've built come to life.""",,,"392 AC - Under the lake's oily surface, iridescent bubbles rise slowly from the depths in strange clusters, like thousands of undulating jellyfish. They bump into each other, burst, merge and divide before breaking through the pulpy surface with a hiss and belch of colorful miasma. I feel the pressure of the Tumult all around me, releasing ideas with each swell that breaks through, ideas seeking to express themselves in the world by any means possible. There's clearly something pulsating at the bottom of the lake. Maybe it's a Tumult singularity buried hundreds of feet below me. All I can do is protect my boat from its devastating effects by using my Construct to individually remove the parasitic ideas beginning to sprout on its hull. It will be a hard crossing. The boat's kelonic motor is sputtering under the effects of the ideas jostling and pounding against it.

I hope Oddball is doing all right. I probe into the distance, feeling his psyche answer me with a few short, miserable beeps. With my own senses, I can feel how badly his frame has been damaged by the intrusive ideas. Through our bond, I create the Eidolon of a Salvager at his side. My Alter Ego slows down, clearly relieved to have a pit stop – and he'll really need it to restore his armor, too. I leave him as I hear the first sounds of welding echoing in the twilit forest where he had been maneuvering, slaloming between the tree trunks. As for me, I'm not out of the woods yet either. Navigating this goopy lake is an interminable process, with the constant risk that, at any moment, a bubble could capsize the boat and throw me into the syrupy waters."
018da8b3-9f63-ac82-b101-f71634483c3d,ALT_COREKS_B_AX_02_C,Hero,"Treyst & Rossum",,"An energy system is a piece of subtle machinery to be optimized for better output.",,,"392 AC - The legs of my chariot sink into the shifting ground, filling the air around us with the hissing of their hydraulic cylinders. As a Brassbug performs maintenance on him, Rossum turns from side to side, diligently watching the landscape. Curious about everything, he sometimes straightens up behind me, contemplating the flight of small rainbow-colored fish swimming in the air, or a hillside rapidly eroding as if molded from translucent multicolored jelly. A little further on, the branches of a flaming tree grove stretch out over turquoise rocks, illuminating the meadow we're currently crossing. How I wish Paju could be here with me right now… But I refrain from summoning his Eidolon. I need all the Mana my Alter Ego and I have collected to shield ourselves from the damage that's surely on its way.

Rossum places his hand on my shoulder and consoles me with a binary tinkling in my mind. Ever since our minds and essences were bonded by the Musubi, he can feel even the least of my emotions, just as I can feel his oppressive homesickness. We each bear our own sorrows. We both have wounds. But the prospect of helping him get back home soothes my grief, at least a little. And I can't help smiling when I see him exploring everywhere like an excited child. It feels good to smile again… I look at his metallic skin, all banged up after our recent expeditions. I'll need to reinforce his armor, maybe upgrade it with two or three more practical modifications. He'll need them when he goes into the Tumult alone before I arrive. I take my notebook from my pocket and start to quickly sketch a few diagrams."
018da8b3-9f65-e5ec-1584-6bb3c9964fac,ALT_COREKS_B_AX_03_C,Hero,"Subhash & Marmo",,"There are still endless possibilities, even in a world of finite resources. In the end, it all comes down to how you choose to spend 'em.",,,"392 AC - I reach out and take the wrench that Marmo is holding in his mouth. I tighten the last bolt with a grunt, then wipe my slobber-soaked fingers on my suit. OK, this is the moment of truth. I switch on the kelonic battery, and my dorsal antenna starts to hum. Everything seems to be running smoothly. My Alter Ego barks, and I rummage in my pack for a bone-shaped dog treat. I throw it to him. He definitely deserves a little reward. While he devours it with happy munching sounds, I adjust the helmet on my head to make sure it fits tightly. By arranging my Construct, I summon a flashlight and point its light at the cave entrance. Right, it's time to see if there's any damned Kelon in these tunnels. And there had better be, because I'm fed up with returning empty-handed.

As I enter the cave, I can't help seeing it like a mouth about to swallow me up. I don't really want to end up like one of Marmo's dog treats, crunched up between a giant pair of jaws. The pink wafts of the Tumult part like curtains before me, pushed back by the waves of my antenna. Meanwhile, Marmo bounds along boldly, unaffected by the rolling mist. He even gorges on it, while I feel the Mana flowing into him like a battery being charged. I rearrange my Construct, forming a Kelon Elemental in front of me. The axolotl appears and starts to sniff the air. If there's Kelon in the area, the axolotl should react. Any second now… I see it suddenly rush forward. Ah! Bingo. I set off after it, grabbing my kelonic pickax. As I switch it on, the Kelon cylinder that powers it starts to pulse with a blue glow, bathing the chamber in a pale purple light."
018da8b3-9f6b-2d0c-281d-9a5487fcb637,ALT_COREKS_B_AX_04_C,Character,"Kelon Elemental",,"In true Axiom fashion, Kelon Elementals like to put everything to the taste.",,,"The inside of my helmet is already fogging up as I exit the elevator. I want to scratch, but it's not easy while wearing my full suit. Inside the mine, the air is sticky and saturated with sulfur vapors. The other miners are waiting in their suits, weighed down with bulky gear like jackhammers, shovels and pickaxes. Only the light of our lamps pierces through the darkness, a thousand feet underground. I instinctively try to wipe my forehead, but my hand bangs into my visor. I grumble to myself. Might as well try and get this over with as quickly as possible. I open the cage I brought with me, and the Kelon Elemental shoots out, attracted to the energizing ore. In the darkness of the mine, its skin is almost phosphorescent. All right, little one, get to work. Find us a nice juicy vein.

After sniffing the toxic air, it starts to scurry off, and I follow as quickly as I can. It turns left, then right, without stopping for a second. Its chubby legs waddle somewhat awkwardly as it moves. The creature is irresistibly drawn to Kelon, like a moth to a flame. I examine its smooth, pink back with crystalline scales jutting out. Just like the axolotl, it has external gills in the form of antennae on either side of its head. It uses these appendages to guide itself because its bulging eyes can only see a few inches in front of it. But it doesn't need them to sense the proximity of its favorite treat. It's a bit like Marmo in that way. They both think with their stomachs. It suddenly stops and starts to scratch the ground. I signal to the others to come over. Don't worry, little one. If we find Kelon, we'll save you a little nugget…"
018da8b3-9f6f-78b5-2b87-ca6fbc9857db,ALT_COREKS_B_AX_05_C,Character,"Foundry Engineer",,"Behind every Axiom masterwork, there are Foundry Engineers.",,,"I place the smoking drone on the engineer's workbench and watch her slither over to the damaged unit. Her scales scrape on the ground as she moves, and the tip of her tail flicks with interest. Like me, Irun was born among the Lyra. Like me, she joined the Axiom. But she made her choice late, after going through the metamorphosis ceremony. In a way, the transformations she inherited from the ritual became her trademark, her stamp. I know she's amused by her students' surprised reaction to her appearance when they see her for the first time. For me, it's always been normal to see people altered by the Tumult. Maybe that's why we became so close. I watch her examine the drone, then shake her head. I had sent it into the Tumult to collect as much data as possible, but the waves and wild currents had left it terribly banged up. It made its way home as best it could, but its circuits were badly damaged.

I ask Irun if she can help me repair the drone, or at least save what it managed to record. She connects it to a charging station, and it suddenly lets out a piercing screech and shakes its banged-up body. I watch it rise again as pieces of metal detach from its shell and fall to the ground. It's as if… as if it's molting. The drone turns toward me, its camera zooming in and out on my face. Intrigued, I offer my hand, and it approaches as if it has a will of its own. It starts cavorting around me like a puppy greeting its owner. I slide my hand over its chassis, and it shivers with pleasure. What exactly happened out there?"
018da8b3-9f71-9357-668e-872e9c906224,ALT_COREKS_B_AX_06_C,Character,Ogun,,"With every blow of his hammer, Ogun forges the Axiom's destiny.",,,"The fire crackles while Ogun works the metal. With each hit, sparks fly out and fall all around him like fiery rain. His broad hand grips the hammer, and his powerful and accurate strikes echo around the workshop. I watch as he plunges the bar he's forging into the water. The surface of the liquid bubbles and hisses into a steamy cloud. He gives me a nod, and I activate my Construct. I rearrange the device, combining the symbols on its surface. The piece of metal he was meticulously hammering starts to glow red once more as I raise the temperature using Alteration. He places the glowing bar on his anvil and starts to work it again. The metal cracks as Ogun expels impurities from the ore with each blow.

Half-hypnotized by the glowing metal and the raining sparks, I remember what the Eidolon told me: “You have a talent for Alteration.” Is that the path I should take? Not being able to join the Fulcrum had been hard to accept, but perhaps becoming an Alterer would open up a chance to join the Expeditionary Corps? Ogun places the bar of metal on the workbench and puts his stamp on it, his vevè. Using my Construct, I cool it so it can take its final shape. The Eidolon looks at me. He seems to be reading the hesitation and doubts on my face. I try to banish them from my mind. I take the steel bar and add it to the pile of others he's already made. I take a piece of steel and kiss it, as is customary when he is called upon. Satisfied, he slowly disembodies as Mana oozes out of him and dissipates into the air…"
018da8b3-9f74-7271-3082-32704813d273,ALT_COREKS_B_AX_07_C,Character,"Foundry Mechanic",,"These nameless workers are crucial to the Foundry's day-to-day operations.",,,"Do you like tinkering in your garage? Are you fascinated by the wonders of science? Do you think innovation is the key to a better future? Then become an Axiom mechanic to be at the forefront of progress! In just 50 years, the Axiom Faction has completely transformed Asgartha and its people's way of life. Trams now circulate within the capital and aerodynes have brought all the Provinces within just a few hours' travel! Thanks to Kelon, your city lights up at night, and thanks to Constructs, Alteration is within everyone's grasp! All these marvels are the fruit of hard work performed by our engineers, workers and technicians. Through them, the industrial revolution is marching forward! Join us now!"
018da8b3-9f77-9ea1-1861-b76917b53be4,ALT_COREKS_B_AX_08_C,Character,"Axiom Salvager",,"The Axiom's limited resources pushed them to reuse whatever they could.",,,"The Lead Salvager watches me as I unload my gear. I groan when I see his eyes narrow, and begin sorting assiduously. I know how demanding he can be about this. After seeing that I'm following his instructions, he looks away and puts his welding mask back on. The flame of his blowtorch starts to glow as he goes back to the piece of metal he's cutting. I know the Suspira mines are becoming depleted, in terms of both rare ores and Kelon. The only solution we've found is to reduce waste by recycling materials as much as possible. This will be a problem in the long term if the Rediscovery Endeavor isn't a success. I know what the higher-ups say: We need to cut costs to keep up the pace, blah blah blah. In the meantime, that means recycling as much as we can to give it a second life, and that's no easy task.

The Salvager approaches while I empty the contents of my latest sackful. He goes through the gear, weighs something in his hand, examines a part that still seems to work. Yep, my haul is good and I shouldn't be ashamed of what I collected. He waves his hand at me, a vague gesture somewhere between showing approval and telling me to get back to work. I do as he says. It's not like I was expecting congratulations. As I climb the steps of the recycling area, I remember a story I was told when I was young: A long time ago, there once was a man whose job was to bring loads of presents to people all over the world. I can't say I envy him…"
018da8b3-9f7a-db69-7de8-6af0c3d528b9,ALT_COREKS_B_AX_09_C,Character,"Tinker Bell",,"Ting! Ting-a-ling! There's something magical in mischievous tinkering...",,,"I close the door to my workshop and remove my smoking gauntlet. I drop it on the table as I pour myself a little pick-me-up. Oof, what a day! I drilled and excavated non-stop, and what was my reward? Equipment that just breaks in my hands. That's a lot of overtime I could have done without. I'm not sure whether to take a shower first, but I might as well get it over with right away. I know how I am: If I leave it too long, I'll still be in the same situation a week later. I sigh and get to work. I can handle the routine stuff myself, but I'll need help with the precision work. The only problem is, I can't think of anyone who can help me other than Tinker Bell. But if I'm to get help from her magical touch, I'll also have to put up with her dragon-like temper.

I pull my Construct out of my bag and rearrange the glyphs on its surface as though it were a three-dimensional puzzle. The Eidolon of Tinker Bell immediately appears, followed by the tinkling sounds she constantly emits as she flits around the room. She finally alights on my workbench, staring with horror at the gauntlet I destroyed. She crosses her arms with an air of disapproval, tinkling as loud as possible to show her displeasure. I'm sure she'll make me suffer before the night is through. I mumble an apology, but it does nothing to calm her down. She haughtily points at my toolbox. I use Alteration to shrink it, then hand it to her. Geez, how can something so small be so ill-tempered?"
018da8b3-9f7d-de2f-39ff-883677913459,ALT_COREKS_B_AX_10_C,Character,"Jian, Assembly Overseer",,"""This material does not seem to be affected by gravity. By harnessing the properties of this Aerolith, we could create flying ships and cities, and fly close to the clouds...""",,,"Jian Lam places a hand on the Aerolith core, tapping its surface while he talks to us about its properties. I listen carefully to the Eidolon. Like Kelon, Aerolith is a material that emerged with the Confluence. The Tumult Nomads had already mentioned it during their travels: floating ruins, rocks suspended in the air as if by magic… It wasn't just a simple freak of nature, but a new element that could be exploited. That's what Jian Lam had done over 300 years ago. He had designed levitating barges and platforms, and lots of other unconventional and visionary inventions… In a way, it's even thanks to him that the capital looks the way it does today, with lakeside areas that float above the water without support columns.

Lam presses a button, and the Aerolith sphere rises a few inches. He then activates his own dorsal propellor and rises as well. It's not always easy to follow his explanations. Paju describes him as someone who's absent-mindedly passionate and has the temperament of a dreamer. But when he talks about his inventions, his eyes sparkle and his enthusiasm is infectious. Even though he sometimes loses track of time and his lessons never finish when they're supposed to… For us, the Aerolith is what allows our airships to rise up into the sky and fly with the birds. Located in the middle of the ship, just behind the cockpit, this core is a bit like our flotation device. By sending pulses to it, we can adjust our altitude, while the Kelon motors propel us forwards and backwards. I put on my jet pack when the Eidolon tells us to. I love this part of our practical lessons."
