ID,REFERENCE,TYPE,NAME,DATE,FLAVOR_TEXT,INSPIRATION,NARRATOR,STORY
1abb92ae-1be0-4b6f-aeb9-c7f103d1d87c,ALT_DUSTER_A_AX_85_C,Hero,"Della & Bolt",,"""Some people react badly to Sap, and as rare as it may be, my role here is to find out why.""",,,
51d01dd6-0166-42a9-a788-64810d0cbd55,ALT_DUSTER_B_AX_85_C,Hero,"Della & Bolt",,"Living creatures are the most beautiful mechanisms of all.",,,
c4c7eaee-a077-466e-8be6-618d77fdbe78,ALT_DUSTER_A_AX_95_C,Character,"Sphura, Reka Hexarch",,"As the head of the Consortium, Sphura oversees all Reka innovation.",,,
968856dc-11d5-4539-b3eb-fab778a38a07,ALT_DUSTER_A_BR_65_C,Hero,"Sol & Halua",,"""I have come to you as Halua's emissary.""",,,
679d150a-4ec5-4acb-a4de-8571e5b3e71b,ALT_DUSTER_A_BR_98_C,Character,"Wanax, Reka Hexarch",,"Wanax leads the Marauders into the Tumult to bring home wondrous catches.",,,
d203d753-7dd1-4b5f-b6c6-17bad57cd21f,ALT_DUSTER_A_LY_65_C,Hero,"Nadir & Bubbles",,"""I took my inspiration from Klimt. I hope you like it…""",,,
572e5b09-1736-4267-a907-9963f7163cca,ALT_DUSTER_A_LY_98_C,Character,"Phoibos, Reka Hexarch",,"As the spokesman for the Hexarchs, Phoibos knows how to play to the crowd.",,,
f54009ea-d0e9-49f7-b6be-60b6ca81bc92,ALT_DUSTER_A_MU_85_C,Hero,"Turuun & Benih",,"""The survival of the Spindle Tree may depend on the Naos.""",,,
c8ca2753-51c5-4598-9c25-d37ef4ebadab,ALT_DUSTER_B_MU_85_C,Hero,"Turuun & Benih",,"Bringing a fruit of the Spindle Tree to the Reka is a way for me to recapture my youth.",,,
c555c782-622e-452e-9bec-0eb3af049205,ALT_DUSTER_A_MU_96_C,Character,"Ploutos, Reka Hexarch",,"Ploutos watches over the Naos and controls the distribution of its fruit to the people.",,,
1e21e900-7df2-495d-b57d-d824613b1a1b,ALT_DUSTER_B_OR_85_C,Hero,"Matz & Hive",,"I am the beating heart of the swarm, the architect of the hive.",,,
