ID,REFERENCE,TYPE,NAME,DATE,FLAVOR_TEXT,INSPIRATION,NARRATOR,STORY
4a6fbb55-c636-446a-8cf9-7693f743738e,ALT_BISE_A_AX_56_C,Character,Icarus,,"Casting off boosters!",,,
3745c6f3-8364-40ca-90af-fdae858ed608,ALT_BISE_A_AX_63_C,LANDMARK_PERMANENT,"The Refinery",,"The use of Sap will alter the course of science as we know it.",,TREYST,"393 AC - A listless Rossum picks his way through the narrow walkways of the refinery — a hard-working fortress, all clad in steel, vibrating with sirens, illuminated by flashing lights, foggy with industrial fumes… I follow in my chair as we make our way along the large ducts and cable conduits to the control room. The power doors open to let us through, and I find Subhash, all sullied with oil and grime. Like many other mechanics, he was requisitioned for maintenance operations. I pet the head of Marmo, who had come to greet me, tongue lolling, before going to nibble playfully on my Alter Ego's ankle. Bash is standing just off to the side of the engineers huddling around the plans, looking worried or focused, I'm not sure which. This must be the final check before pressing the button… The refinery has been at a standstill for five weeks as it's reconfigured and transformed from a Kelon refinery to a Sap operation.

All the Axiom community's brightest minds are clustered around the table. They check, recalculate, adjust and recalculate again. Following directions, the workers below connect, divert, disconnect and reconnect… Bash yawns, and I empathize. But just as I decide to go and see him, the group raise their heads. A consensus seems to have been reached. All they need is a signal. The technicians at the controls anxiously lower the switch levers. Slowly, the change begins. The pumps start up, and fluid flows back and forth. The conduits leading from the City of Scholars emit a strange sound… an odd sucking noise, a bit like a drain. In a gloopy eruption, Sap rushes into the vats, spurting out in fits and starts. Then the gurgling turns into a regular humming sound. After a few minutes that seem like hours, the architects of this technological marvel start hugging, congratulating and embracing each other as applause rings out."
dff40a3d-f45f-4e19-9569-c7ce4fd3c8d1,ALT_BISE_A_BR_58_C,Character,Theseus,,"What a surprise, he's pulling out the big cards.",,,
1efa4057-a4e5-4f9f-a152-dd9ad66e1da0,ALT_BISE_A_BR_63_C,LANDMARK_PERMANENT,"The Mess",,"Every evening, the Mess overflows with laughter and shouting as explorers share their daily exploits.",,KOJO,"393 AC - I must admit, it feels good to be back out in fresh air. Just seeing clouds and the sky above our heads makes all the difference… And I also have to say that the Mess has really changed since it was built. I look at the pennants and string lights. Somewhere, a Lyra is playing the accordion. It makes it feel like a funfair. As I move forward in the line, I can't help smelling the different aromas of food from the stalls. And to say I'm starving is a massive understatement. Nearby, a corgi is begging at a table. I spot Basira clinking a toast with Treyst after hearing her gruff laugh drowning out all the chatter around me. I sigh, remembering about her refusal to coach me. And I've hit a brick wall with Atsadi too.

Boo puts his nose in the palm of my hand, and I turn to him. Yep, you're right, buddy. I should chase away those dark thoughts. We're here to stuff our faces, and I don't need any convincing for that. My belly starts to rumble. There's nothing like a raging hunger to make you forget all your other worries. And it's the same for Boo, too. Eat. Eat. Eat. His mind is fixated on this single idea. Don't worry, buddy, you'll get a good helping. But no begging from other people, OK? Right, how much longer? Even though I booked weeks ago, the Mess seems to be suffering from its own success with such long lines. As the sun sets behind the cliffs of the Screed, I notice someone waving at me from the reception desk. Hey! Look who it is!"
53bfd90d-5f2f-4df7-b5a5-80cbf358ed78,ALT_BISE_A_LY_53_C,Character,Daedalus,,"If you're lost, listen out for the announcements from the central stage.",,,
80408e98-2649-4ce2-9eb0-8b1cac6e03d5,ALT_BISE_A_LY_63_C,EXPEDITION_PERMANENT,"The Stage",,"Day or night, the music of BLISS reinvigorates weary hearts and bodies.",,FEN,"393 AC - I check my makeup one last time in the mirror — blush, eyeliner, mascara, eyeshadow, glitter — and quickly dab at the corner of my lips with one finger to clean up a stray bit of lipstick. Then I emerge from backstage for my last rehearsal before the big night, walking carefully among the coiled cables and those running across the stage. The sound techs check the equipment and connections while the lighting crew run their usual tests. The neon lights go up as I step up to my mark, a simple ""X"" of black tape on the stage. Looking back, I see the name of our group, ""BLISS"", appear in flashing letters outlined in multicolored neon. I breathe out deeply to ease my nerves. As usual, my stage fright is right there, like a knot in my stomach. And I know it'll stay there until the first few notes start to ring out.

I adjust my earpiece and grab the mic to adjust the height. Then I talk with the sound techs for a minute, running through some vocalizations to set the monitor and amp levels. I warm up my voice, and exhale once again to quiet the anxiety in my guts. I turn to the horizon, where a bright sunrise is starting to glow. Yesterday, we flew over the camp at midday to announce the concert. We threw confetti into the crowd to delight the explorers with the first track from our new album and help set the tone. I'm sure a lot of them will show up here tonight, to trade a little bit of their precious free time for some real entertainment. We'll have to really put on a show to avoid disappointing them. I feel the knot tightening up again, and again I exhale. Nearby, Crowbar is tuning his guitar. Tamati and Orbec are chatting over cups of Sap soda… I smile as I realize, like I always do, how lucky I am to have these folks with me."
674ad23e-cdd7-4293-bb88-7455cadf8e1c,ALT_BISE_A_MU_58_C,Character,"The Minotaur",,"Our mascot will always be available for a few selfies.",,,
f783fd2b-e5af-4f6b-96fd-7a5cff670479,ALT_BISE_A_MU_62_C,LANDMARK_PERMANENT,"The Farm",,"The Mess requires a farm that can consistently provide for its day-to-day needs.",,ARJUN,"393 AC - The cart laden with crates of fruit and vegetables pulls up to me, and the gardener driving it asks if I want a ride. I don't need to be asked twice, so I sit down next to him. I'm exhausted after the day's hike, and this stroke of good luck has arrived at the perfect time. As the horse and cart sets off again, I look behind me one last time at the peaceful Farm. The sails of the windmill turn at a leisurely pace, fanned by the wind blowing over the Screed, while above, the dense cypress foliage stirs and rustles. The farm and tree were formed in a single action through Alteration. Barns, silos and granaries are naturally embedded in the gigantic trunk to benefit from its cover and consistent temperature. All around, Muna farmers — all very happy to have left the the Ouroboros — are working in the fields, vineyards and orchards.

I turn to my savior, and we have a friendly chat about the colorful and pleasantly scented cargo he's just loaded up at the Farm: oranges and pomegranates, pumpkins and mushrooms, and even a few bouquets of flowers… Everything seems to have been cultivated with Sap. I crease my brow, deep in thought. As I expected, the goods will be distributed to various areas within the outpost, mainly to the Mess. Anything left over will be sent to the market held every morning in the main square opposite the Ordis town hall. Maybe I should bring Rin a gift basket? Lately, she's been constantly cooking delicious meals for me to thank me for having saved her during the ascent of the Cais Adarra. I smile when I think back to the excitement she feels every time she talks about food or explains her recipes. Who would have thought that besides being part of an Exalt, she's also a master chef?"
06244716-faad-4faf-95fe-e94de53ace00,ALT_BISE_A_OR_57_C,Character,Ariadne,,"Big up to all the little people who keep the event running.",,,
1447477c-1715-42c2-a844-99ed7db71456,ALT_BISE_A_OR_63_C,EXPEDITION_PERMANENT,"The Town Square",,"In light of the Ordis' well-known organizational advantages, the Factions entrusted them with outpost logistics.",,SUNISA,"393 AC - I leave City Hall after dropping off my report. One month of involuntary demobilization and dealing with administrative requests that really aren't my strong suit… I'd much prefer to be getting down and dirty in the field. But after an avalanche and taking the full force of the old Mage's tornado, they thought — perhaps rightly so — that I needed to put my feet up for a few weeks. OK, it wasn't all terrible. It was fun hanging out at the Mess with Sunniva, and with Cat and her gang, but it was like living their adventures vicariously. The only consolation was that Sig was also having the same run of bad luck with his fair share of boring missions. And that had given me the opportunity to make fun of him on more than one occasion. Last I heard, after having royally screwed up his recruitment speech, he had been assigned to watch over herds of Woollybacks.

Let's be honest, that's definitely a punishment that fits the crime. Also, note to self, go and tease him at the first opportunity. Smiling, I make my way through the crowded square. This is where all the complaints are handled, and by extension, where camp life in general is managed. A bureaucrat's paradise, basically. As I pass by the crier's desk, I see that he's reading the new edicts that were announced the day before. I sit down on an old collapsed column to rest my leg, which is still a bit stiff, then take out my newly acquired certificate of fitness from my pocket. With this, I can see a clerk to get a posting that would be a bit more active than simple pen pushing. Supply logistics, or maybe protective detail? Who knows?"
c2f5c430-d175-46f0-8f80-942c11ed7285,ALT_BISE_A_YZ_52_C,Character,Pasiphaë,,"Goodies! Who wants goodies?",,,
c9460e3e-f2e7-4875-bb7e-b819f0eb398b,ALT_BISE_A_YZ_62_C,EXPEDITION_PERMANENT,"Nilam Spires",,"Observing the Tumult requires taking a high-level perspective on it, and mastering it requires knowledge.",,AFANAS,"393 AC - I climb up through the great white tower of the Nilam Spires, with the overwhelming scent of resin all around. I cross the different floors without stopping, barely noticing the workshops, libraries and meditation rooms as I pass by. From the outside, of course, you'd never guess there was so much space, just like inside the Magisterium. But space is a luxury that the Faction exploits gladly. Senka caws on my shoulder, interrupting the studious silence. I know it wants to fly up to the summit to be as close to the Tumult as possible. But we're not visiting the observatory today. Behind me, Fasano is breathing hard, but he digs deep to make sure he keeps up. Later, I'll take him to the control room where a team of Mages tirelessly monitor the Tumult's currents to warn us if a wave is about to batter the Screed. But not today.

I place a hand on the crystallized wood of the stairwell, admiring the striations on its surface while thinking back to what Wanjiru had said to me. He had opened the doors to a great deal of knowledge, which I was still trying to sort through in my head. Upon arriving at the seventh branch, I head to the entrance of the dimensional pocket, which is like a puddle on the wall. I sink into my reflection to pass through to the other side. We enter the laboratory with a sucking sound and emerge into this elsewhere plane that exists neither in reality nor in the Empyrean. Everyone is already here: Kuwat, Isikeli, Moyo, and even Saskia, the Muna naturalist. After turning to us to acknowledge our presence, they return their attention to the slimy shape wriggling inside the glass bell jar: a maggot about the size of a cat, and so white it could be an albino. It squirms and tries to climb the smooth, transparent wall. It had survived in a dormant state inside the frozen trunk of the world tree, and had come back to life when we transported its bark to a warmer environment."
0bd8c1b7-2777-4210-90ef-ee4c2bf56e1c,ALT_BISE_B_AX_02_C,Hero,"Treyst & Rossum",,"An energy system is a piece of subtle machinery to be optimized for better output.",,TREYST,"392 AC - The legs of my chariot sink into the shifting ground, filling the air around us with the hissing of their hydraulic cylinders. As a Brassbug performs maintenance on him, Rossum turns from side to side, diligently watching the landscape. Curious about everything, he sometimes straightens up behind me, contemplating the flight of small rainbow-colored fish swimming in the air, or a hillside rapidly eroding as if molded from translucent multicolored jelly. A little further on, the branches of a flaming tree grove stretch out over turquoise rocks, illuminating the meadow we're currently crossing. How I wish Paju could be here with me right now… But I refrain from summoning his Eidolon. I need all the Mana my Alter Ego and I have collected to shield ourselves from the damage that's surely on its way.

Rossum places his hand on my shoulder and consoles me with a binary tinkling in my mind. Ever since our minds and essences were bonded by the Musubi, he can feel even the least of my emotions, just as I can feel his oppressive homesickness. We each bear our own sorrows. We both have wounds. But the prospect of helping him get back home soothes my grief, at least a little. And I can't help smiling when I see him exploring everywhere like an excited child. It feels good to smile again… I look at his metallic skin, all banged up after our recent expeditions. I'll need to reinforce his armor, maybe upgrade it with two or three more practical modifications. He'll need them when he goes into the Tumult alone before I arrive. I take my notebook from my pocket and start to quickly sketch a few diagrams."
1aa4c6b4-80f5-4751-a5e0-cd0f4e0dc9d8,ALT_BISE_B_AX_03_C,Hero,"Subhash & Marmo",,"There are still endless possibilities, even in a world of finite resources. In the end, it all comes down to how you choose to spend 'em.",,SUBHASH,"392 AC - I reach out and take the wrench that Marmo is holding in his mouth. I tighten the last bolt with a grunt, then wipe my slobber-soaked fingers on my suit. OK, this is the moment of truth. I switch on the kelonic battery, and my dorsal antenna starts to hum. Everything seems to be running smoothly. My Alter Ego barks, and I rummage in my pack for a bone-shaped dog treat. I throw it to him. He definitely deserves a little reward. While he devours it with happy munching sounds, I adjust the helmet on my head to make sure it fits tightly. By arranging my Construct, I summon a flashlight and point its light at the cave entrance. Right, it's time to see if there's any damned Kelon in these tunnels. And there had better be, because I'm fed up with returning empty-handed.

As I enter the cave, I can't help seeing it like a mouth about to swallow me up. I don't really want to end up like one of Marmo's dog treats, crunched up between a giant pair of jaws. The pink wafts of the Tumult part like curtains before me, pushed back by the waves of my antenna. Meanwhile, Marmo bounds along boldly, unaffected by the rolling mist. He even gorges on it, while I feel the Mana flowing into him like a battery being charged. I rearrange my Construct, forming a Kelon Elemental in front of me. The axolotl appears and starts to sniff the air. If there's Kelon in the area, the axolotl should react. Any second now… I see it suddenly rush forward. Ah! Bingo. I set off after it, grabbing my kelonic pickax. As I switch it on, the Kelon cylinder that powers it starts to pulse with a blue glow, bathing the chamber in a pale purple light."
a8cd0135-ccc8-45e7-82cd-106694280844,ALT_BISE_B_AX_31_C,Token,Brassbug,,"The Brassbugs seem to be evolving along with their environment.",,,
87f4eb27-044c-4640-9338-e97456301331,ALT_BISE_B_AX_49_C,Character,"Sap Sniffer",,"Indigenous to the ruins, these little creatures can smell Sap from a mile away.",,TREYST,"393 AC - Sitting down in my workshop, I gather up my notes. The soft mechanical hum of the mobile laboratory makes me feel like I'm a bee in the middle of a hive. Rossum is waiting for my directions to continue our experiments on Sap. I'm hoping to find ways to improve the quality of prostheses and implants, including replacing the use of Kelon and increasing their durability. I'm lost in these thoughts when the door flies open. A prospector crashes in, trying to rein in one of those strange local animals similar to a mole, which he has at the end of a leash. The man seems exhausted, while the animal is overexcited. Completely ignoring me, the creature's owner promptly places some containers of Sap on my desk, then rushes over to the animal to feed it a drop of his harvest. The Sniffer, as we call these mole-creatures, calms down immediately, sits down on its hindquarters, and looks at its master with wide eyes through its protective goggles.

While Rossum deals with this new shipment of Sap, which I'll use for my research, I ask the man about his four-legged partner. The man is all too happy to teach something to a scientist, and proceeds to describe the Sniffer's character. This little ball of fur, with big claws for digging and strong teeth for gnawing thick roots, is a specialist in detecting sources of Sap. Its kind are so partial to the substance that they are sometimes willing to take great risks to reach a place that might have some. The prospector tells us about several occasions when the Sap Sniffer was all too eager to climb into some dangerous places among the engraved stones deep within the city, just to savor a few amber drops. As we talk, I notice the man watching his partner out of the corner of his eye. The Sniffer is showing signs of impatience. Mumbling, the prospector picks up the leash and bids me a hurried farewell, before being pulled forcefully to the exit by his furry friend. The whole scene leaves me puzzled, and I wonder if the Sniffer has developed some kind of addiction to Sap."
a17321be-bf54-4dab-81a6-651c273806d0,ALT_BISE_B_AX_50_C,Character,"Dredger Drone",,"The more you dig, the better your chances of finding something unique.",,TREYST,"393 AC - I head to the dig site to investigate a Sap vein. Rossum follows me closely with all the gear I need for my analyses. I sometimes enjoy leaving my workshop to do some exploring around the Screed. Exploring with Paju was my original dream. Visiting far-off places, exploring the country in search of adventure and the unknown… That's why we wanted to be pilots. With a wave of sadness, I realize how much I still miss my friend, and I rev the motor of my chair to reach my destination faster, forcing Rossum to speed up. Once I arrive, I pause for a moment to look all around me. An army of drones performs a meticulous ballet while clearing a pile of rubble and rocks to gain access to a vein of sap.

I admire the artistry of the work, the precision of the machine's movements, the accuracy of the sequence of maneuvers: One arm digs, guided by sensors on its front panel, while the other arm guides the rubble to the open hatch that leads to the inside of its steel abdomen. As it drills, a siren and flashing light warn nearby workers that the machine is in operation. Its belly full, the drone closes the hatch and flies off to the quarry to drop off its load. A new drone takes its place and continues to drill in the exact spot where the previous one stopped. It's mesmerizing. It's hard to stop watching the perfect timing of the machines' rotation. I can't help noticing a similarity with the workers in a hive or anthill, the ones Paju and I watched as children when our heads were full of dreams. I finally snap out of my trance to go and inspect the samples recovered by the Axiom engineers in charge of operating this mine."
57d87af3-0017-4afa-b3ce-cfa4d71033b5,ALT_BISE_B_AX_51_C,Character,"Designer Drone",,"Designed by designers to help them design.",,SIERRA,"393 AC - I knew I would miss Aby, but I didn't know how much I would miss her, both personally and professionally. Come to think of it, what was she doing now? Did she still put the kettle on as soon as she entered the workshop? Did she still fold her scooter, then lean it against the entryway wall? Had she changed anything in the space we had shared for all those years? I sometimes caught myself turning around to talk to her or to show her something before remembering that she wasn't actually there. And even though I sometimes manifested her Eidolon to run errands and deliveries to the depths, it wasn't the same. Not having Aby around was like having a part of my brain removed. I had got into the habit of routinely showing her all my schematics, to get her opinion, to find out what she would improve. And over the years, her comments had become increasingly insightful.

That's why I'd needed an assistant. Its design was based on a moon jellyfish, but with flamboyant glasses and a sullen mouth added. Even today, I still wonder what I was thinking when I designed its outer appearance. But looks don't matter; it's what's inside that counts. And the ""Magnum 6"", the cryptex that determines its cognitive abilities, capable of millions of permutations, is probably the most complex I'd ever had to develop. I glance over at it. Its prehensile hands, connected to its body by flexible and incredibly malleable strands, grasp the blueprint and unroll it. It scans the document with its permanent expression of vanity and condescension, which always makes me smile. Then, when it has finished its analysis, a bulb suddenly emerges from its body and flutters above its head. I approach. This is a sign that it has found areas when my design can be improved."
