ID,REFERENCE,TYPE,NAME,DATE,FLAVOR_TEXT,INSPIRATION,NARRATOR,STORY
c4c5c6b0-73cd-42d9-b497-a91364b62031,ALT_EOLE_A_AX_116_C,Character,"Stigma of Stagnation",#N/A,"La peur du changement invite à l'atrophie.",#N/A,#N/A,#N/A
4ae7726a-440e-4fd5-aab4-6479e209e5ec,ALT_EOLE_A_AX_117_C,Character,"Plague of Avarice",#N/A,"La recherche du progrès est une faim insatiable.",#N/A,#N/A,#N/A
09d59a7f-6390-4b93-ab53-38db86d2f25a,ALT_EOLE_A_AX_65_C,Hero,"Isaree & Pebble",#N/A,"« Je vais te montrer une autre application de l'Aérolithe ! »",#N/A,#N/A,#N/A
d86ca3cb-c203-41a7-a51e-62f717d5bb7e,ALT_EOLE_A_BR_105_C,Hero,"Gretel & Rust",#N/A,"« Je ne céderai pas face à la peur ! »",#N/A,#N/A,#N/A
6b67faf9-465c-4528-b46a-810d983ffdf5,ALT_EOLE_A_BR_114_C,Character,"Stigma of Cowardice",#N/A,"Il est parfois sage d'avoir peur de son ombre...",#N/A,#N/A,#N/A
81f4de76-f1dd-4efc-86f1-91f02c724619,ALT_EOLE_A_BR_116_C,Character,"Plague of Arrogance",#N/A,"La seule chose plus dangereuse que l'ignorance est l'arrogance.",#N/A,#N/A,#N/A
8ea7df4c-b518-4054-b356-95d29db82e11,ALT_EOLE_A_LY_105_C,Hero,"Yeong-gi & Ember",#N/A,"« Laisse-toi consumer par la vraie terreur ! »",#N/A,#N/A,#N/A
5ad0ee49-63ed-43e5-af09-286680ce9af3,ALT_EOLE_A_LY_115_C,Character,"Stigma of Havoc",#N/A,"Quand on parle du loup, on en voit l'ombre difforme...",#N/A,#N/A,#N/A
2dadb8bf-5b0e-4c5c-b218-21c675fefc78,ALT_EOLE_A_LY_117_C,Character,"Plague of Despair",#N/A,"« L'âme ne se rend pas au désespoir sans avoir épuisé toutes les illusions. » - Victor Hugo",#N/A,#N/A,#N/A
db450353-d465-41f7-82e6-242312ffd550,ALT_EOLE_A_MU_115_C,Character,"Plague of Prejudice",#N/A,"L'injustice est le terreau du mal.",#N/A,#N/A,#N/A
512cdcc7-38e4-42a0-a3bb-799b60bf87b3,ALT_EOLE_A_MU_117_C,Character,"Stigma of Belligerence",#N/A,"L'hostilité invite le préjudice.",#N/A,#N/A,#N/A
94e39ffc-f286-4443-83b3-174ce1948494,ALT_EOLE_A_MU_65_C,Hero,"Kauri & Puff",#N/A,"« Malheureusement pour toi, je ne suis pas venu seul ! »",#N/A,#N/A,#N/A
5aaa9805-8db8-4ab1-8f72-97b44c92fccc,ALT_EOLE_A_OR_116_C,Character,"Stigma of Banality",#N/A,"La peur de la différence détruit l'individualité.",#N/A,#N/A,#N/A
