ID,REFERENCE,TYPE,NAME,DATE,FLAVOR_TEXT,INSPIRATION,NARRATOR,STORY
c4c5c6b0-73cd-42d9-b497-a91364b62031,ALT_EOLE_A_AX_116_C,Character,"Stigma of Stagnation",#N/A,"Fear of change leads to stagnation.",#N/A,#N/A,#N/A
4ae7726a-440e-4fd5-aab4-6479e209e5ec,ALT_EOLE_A_AX_117_C,Character,"Plague of Avarice",#N/A,"The pursuit of progress is like an insatiable hunger.",#N/A,#N/A,#N/A
09d59a7f-6390-4b93-ab53-38db86d2f25a,ALT_EOLE_A_AX_65_C,Hero,"Isaree & Pebble",#N/A,"I'll show you another use for Aerolith!",#N/A,#N/A,#N/A
d86ca3cb-c203-41a7-a51e-62f717d5bb7e,ALT_EOLE_A_BR_105_C,Hero,"Gretel & Rust",#N/A,"I will never give in to fear!",#N/A,#N/A,#N/A
6b67faf9-465c-4528-b46a-810d983ffdf5,ALT_EOLE_A_BR_114_C,Character,"Stigma of Cowardice",#N/A,"Sometimes it's wiser to be afraid of your own shadow…",#N/A,#N/A,#N/A
81f4de76-f1dd-4efc-86f1-91f02c724619,ALT_EOLE_A_BR_116_C,Character,"Plague of Arrogance",#N/A,"The only thing more dangerous than ignorance is arrogance.",#N/A,#N/A,#N/A
8ea7df4c-b518-4054-b356-95d29db82e11,ALT_EOLE_A_LY_105_C,Hero,"Yeong-gi & Ember",#N/A,"Surrender to the burn of true terror!",#N/A,#N/A,#N/A
5ad0ee49-63ed-43e5-af09-286680ce9af3,ALT_EOLE_A_LY_115_C,Character,"Stigma of Havoc",#N/A,"If ""wolfing down"" had a face…",#N/A,#N/A,#N/A
2dadb8bf-5b0e-4c5c-b218-21c675fefc78,ALT_EOLE_A_LY_117_C,Character,"Plague of Despair",#N/A,"""The soul does not give itself up to despair until it has exhausted all illusions."" – Victor Hugo",#N/A,#N/A,#N/A
db450353-d465-41f7-82e6-242312ffd550,ALT_EOLE_A_MU_115_C,Character,"Plague of Prejudice",#N/A,"Injustice is fertile ground for evil.",#N/A,#N/A,#N/A
512cdcc7-38e4-42a0-a3bb-799b60bf87b3,ALT_EOLE_A_MU_117_C,Character,"Stigma of Belligerence",#N/A,"Hostility breeds harm.",#N/A,#N/A,#N/A
94e39ffc-f286-4443-83b3-174ce1948494,ALT_EOLE_A_MU_65_C,Hero,"Kauri & Puff",#N/A,"Unfortunately for you, I didn't come alone!",#N/A,#N/A,#N/A
5aaa9805-8db8-4ab1-8f72-97b44c92fccc,ALT_EOLE_A_OR_116_C,Character,"Stigma of Banality",#N/A,"To be afraid of being different is to destroy individuality.",#N/A,#N/A,#N/A
93ee177d-dee5-4b33-9142-955a12c3baca,ALT_EOLE_A_OR_117_C,Character,"Plague of Intolerance",#N/A,"Intolerance is a mask for fear.",#N/A,#N/A,#N/A
230158d5-4e6a-4d5f-82ff-e69a609074e2,ALT_EOLE_A_OR_65_C,Hero,"Zhen & Zephyr",#N/A,"My mind is an impregnable fortress!",#N/A,#N/A,#N/A
15c374ea-1545-4861-a32f-49bfdc444e72,ALT_EOLE_A_YZ_105_C,Hero,"Sam & Spook",#N/A,"Do you really want a staring contest?",#N/A,#N/A,#N/A
dc4a594f-f3a2-4518-b627-9f5291329b62,ALT_EOLE_A_YZ_115_C,Character,"Stigma of Fallacy",#N/A,"Falsehoods behind the mask, hidden under the guise of truth…",#N/A,#N/A,#N/A
3f53fcbd-d9cc-4c50-b053-1f6755c61e05,ALT_EOLE_A_YZ_116_C,Character,"Plague of Ignorance",#N/A,"Ignorance is the crucible of evil.",#N/A,#N/A,#N/A
b9af7b76-3af6-4559-bf0d-be5362bbe6f6,ALT_EOLE_B_AX_106_C,Character,"Sneaky Salamander",#N/A,"Perfect for slipping under the radar.",#N/A,#N/A,#N/A
2c8dfaf3-ba25-493d-90a8-33382fc5fc10,ALT_EOLE_B_AX_107_C,Character,Hop-o'-my-Thumb,#N/A,"It's not easy to lead the way…",#N/A,#N/A,#N/A
a63b4f00-bab4-44ba-9f10-f77ab6033f86,ALT_EOLE_B_AX_108_C,Character,"Corrupted Paju",#N/A,"""Why did you survive, Treyst… but I died?""",#N/A,#N/A,#N/A
9ec1a564-7675-42d9-a463-d084830c1930,ALT_EOLE_B_AX_109_C,Character,"Reka Scavenger",#N/A,"""I need to bring this back to Isaree as soon as possible!""",#N/A,#N/A,#N/A
ae38b550-1436-45f3-b8c3-b3076851f128,ALT_EOLE_B_AX_110_C,Character,"Toting Armadillo",#N/A,"Its shell has inspired the shields’ design.",#N/A,#N/A,#N/A
