ID,REFERENCE,TYPE,NAME,DATE,FLAVOR_TEXT,INSPIRATION,NARRATOR,STORY
a20e6bc6-ea4f-470d-a0cf-cfd3cfa7beb6,ALT_CYCLONE_A_AX_74_C,Character,"Lucan, Hungry Leviathan",,"It burst out of the rocks to chomp on our jewels.",,SIERRA,"393 AC - The buildings are under battle orders to proceed with the evacuation of the island. The alarms let out a deafening wail. Halua was already causing enough damage, and now there's another Leviathan? Little by little, a different vibration starts to drown out the sirens. I've got a bad feeling about this. The clouds suddenly explode, and the beetle comes hurtling towards us. Its buzzing sounds like a turbine running at full speed. It caught us by surprise, just as we were unearthing a major Aerolith deposit – the biggest one so far. It moves rapidly, unfazed by the explosions, with its legs and mandibles gouging away at the rock. Its chitin is too tough, even against these long series of powerful blasts.

The monster's forewings start to thrum even louder, filling the air with chilling, grinding chirps. The Scarab Leviathan rushes towards the block we've anchored to the zeppelin. Its striated carapace reflects the sunlight as its shining rainbow-colored wings beat at the air. I watch, powerless, as it eviscerates an airship's balloon with its horn. The balloon deflates as though pierced by a knight's lance. But… unlike Halua, this Leviathan isn't targeting us. It's after the vein of Aerolith that we're dragging around with us like a big piece of meat on a hook. The only trouble is that the fish we've caught is way too big for us. Oddball beeps next to me, and I agree. I race towards the wheelhouse. We've got to convince the captain to dump the cargo."
fe4fd93f-8333-4db5-bf51-6991837510c9,ALT_CYCLONE_A_AX_76_C,Spell,"Axiom Signet",,"Innovation, engraved in chrome.",,UNKNOWN,"393 AC - Nothing is created, everything is transformed. So goes the old adage. Nothing is lost, everything is recycled. Such is the universal law. Underneath the successive stamps of various Axiom engineers, artisans and workers is the eternally changing life of a bit of metal, a piece of machinery, a lever… Nothing must ever be lost, and every component must be used and reused until it's completely worn out. Then it will be melted down and reforged to start another cycle of existence, whether in the same form or a different one. But before that, it's not unusual for a humble plate, hoop or lever to have so many different stamps on it – some of them overlapping others – that they combine to give the part an ancient and arcane appearance.

Recycling is a philosophy that maintains the balance between change and inertia. It encodes a new creation within existing work, the new within the old, and life within destruction. This cycle is a form of eternal life in which every ounce of material achieves a new transformation. This cycle is a rhythm, a cadence, whose purpose lies in metamorphosis and renewal. Each stamp is the mark of an entire life, bearing witness to the stage of the journey in which it is anchored. The more the part wears down, the more it is burnished and engraved, the further it advances in its odyssey. And through each of these countless interactions, it earns respect. The ancients spoke of a cycle of reincarnation. The same philosophy applies to objects…"
10477249-2daa-4321-bcce-5457faf5e0bf,ALT_CYCLONE_A_BR_77_C,Character,"Halua, Raging Leviathan",,"Its exuberance forced a stopover.",,HALUA,"393 AC - Even from miles away, I can smell it emanating from their pores. A strong, sickly scent that trails behind them in the wake of their flimsy ships, their makeshift crafts. They're just like the others – leeches, parasites, only good for sucking out sap until the shoot shrivels. I watch them gorge themselves, like a swarm of locusts. They land on an island, then dig, erode and devour the red-veined rock until the atoll can no longer fly. They leave a trail of destruction under the clouds, eradicating entire biomes, depriving birds of a nesting site or a stop on their migration. Those humans… They take without giving back, unaware of the devastation they cause. Pests. 

How could I have trusted them? They saw me being born. They showed me affection. But that was all a ruse to deceive me. To topple me more easily. And this human tribe is no better than the last one. No, they can't be allowed to land. I need to stop it. So I track them, hidden in the clouds. And I wait, patiently. I wait for a ship to fall behind the others, so I can isolate it from the rest of the herd. So I can break it, reduce it to scrap, drag it down to the bottom. So I can make it disappear, body and soul, with a simple flick of my tail. That's all they deserve. What is it they used to say? ""You reap what you sow…"" Yes, I'll make sure they get what's coming to them, by unleashing my righteous wrath."
4203479f-8c90-43bf-9948-78eb77b181d3,ALT_CYCLONE_A_BR_79_C,Spell,"Bravos Signet",,"Audacity, written in flesh.",,UNKNOWN,"384 AC - We are Bravos. Courage, prowess, camaraderie… they're all written on our skin. We display them proudly, like a challenge, a symbol, a warning. Through ink, through embers, each of our scars tells a story. Indelible. We are Bravos. It is a demand, an absolute commitment that can't be renounced. There's no turning back, only forward to new challenges and new obstacles. We are Bravos, and our tattoos say who we are. The needle's path is just a reminder of what we've faced, what has marked us, what has defined us. The pain is merely an echo, a recollection and a way to relive adversity in the crucible of your soul.

When I tattoo an athlete on their thigh, they've experienced much worse in training. When I tattoo the name of a deceased loved one above the heart, it's a promise that the survivors will remember them. When you are Bravos, you announce your life loudly and clearly to anyone who will listen, and sometimes at first glance. The needle reveals our rage, resilience, triumphs and setbacks. Because great deeds are always eternal burn marks, as glowing, vibrant and vivid as the disappointments. Sol sits down opposite me. The little one is all grown up. I'm told that Little Red Riding Hood showed her support during her Imhallat. She is Bravos now too. And I'm going to engrave that truth into her flesh."
0df4477a-fab0-4cef-a600-d5df45cfeecb,ALT_CYCLONE_A_LY_74_C,Character,"Koi, Playful Leviathan",,"Its joyful twirl splashed our path.",,NADIR,"393 AC - Its multicolored silhouette is reflected in the stagnant water of the rice fields, which are full to brimming after the recent rains. I watch intently to ensure I don't miss a single moment of the show. And what a show it is! Its pastel-colored fins push the clouds away each time they flap, like the rippling, lacy fins of a betta fighting fish. As it twists in the sky, like the fish-shaped streamers often flown during Ryukkōsai, its whiskers stir the air around it like those of a catfish. But there's really no mistaking it: This mischievous Leviathan specifically chose to be a carp as big as a mountain to announce its existence in the world. Its iridescent scales reflect the sunlight and start to shimmer.

It looks like it's dancing, or engaging in a courtship ritual. But I know it's actually playing with my alter ego. I can also see the sparkling droplets that Bubbles forms as he swims around the Leviathan, and the giant Koi happily follows him, curious and playful. After all, Chimaeras and Leviathans aren't that different, really. I don't know yet if other humans realize how closely related they were. They surely knew that both were connected to Mana and the Tumult, and could freely wade around in it as though it were an ordinary ocean. But did they understand their true nature and what their role was? I take out my notebook and charcoal and prepare to sketch the aerial ballet. I simply must show this to Zaza."
53deeac8-40a7-44b1-80f0-41e71c6569bb,ALT_CYCLONE_A_LY_78_C,Spell,"Lyra Signet",,"Imagination, drawn from dreams.",,UNKNOWN,"""He departs into the void and the chaos within;
Entering the Tumult, he embraces its essence;
He delights in it, trusting it with every sense;
He absorbs the energy, into soul and onto skin;

In that instant, that moment, the transformation takes place;
The eager initiate now understands that his nature;
Far from being fixed and unique, is just a signature;
Many-faced and ever-changing, it constantly regenerates;

He accepts the burden of his intense transformation;
The sign of his Faction and the source of its might;
For all, he wants only to bring joy and to excite;
From the magic he creates, art is its expression;

Returning from this journey and into a new dimension;
He celebrates Ignescence, and the change it brings;
And inspired by the power of all these feelings;
From the Tumult reshaped, he becomes its champion."""
9353af8b-f86a-4373-82ab-5c4303ebc6a4,ALT_CYCLONE_A_MU_74_C,Character,"Zaratan, Social Leviathan",,"We were dashing among the bushes when one of them came to meet us.",,TEIJA,"393 AC - I stand before him in my ceremonial robes. Sig insisted that I be accompanied by bodyguards from the Tagmata, but I know that a few soldiers won't make much difference if the Leviathan decides to get aggressive. No, all I can feel in the Skein is a combination of curiosity and joy. If he smashed our ship, it would be out of playfulness or clumsiness. The result would still be the same, of course. His giant head draws closer to us. Our whole ship could fit into one of his nostrils, without even touching the sides. We're nothing but ants compared to him. But the closer he comes, the more the dendrites of his Skein start groping around.

I feel his filaments tangling with mine, and he doesn't hold back, to say the least. In exchange, I ask for his hospitality. I share with him the key concepts of who we are – not through intellect, but more in relation to our underlying nature, the good and the bad… even though these concepts are essentially very human. The gargantuan turtle asks me if we come from below, from under the clouds, and I reply that no, we come from much further away. Narrowing his eye, which looks like a tiny moon, he tells me that we look like those who came to see him before the archipelago broke up and dispersed. Before the red wing made them abandon these shores…"
ed88a308-98d0-4d28-a31f-d62e68d9b69f,ALT_CYCLONE_A_MU_79_C,Spell,"Muna Signet",,"Empathy, bound within hearts.",,FLORE,"393 AC - There's an inherent contradiction among the Muna. We do our utmost to maintain the balance of nature, parity between the species – animals, plants, and others – so that everything can live in harmony. But isn't that just interventionism? If we were to follow the laws of nature to the letter, we should leave all species alone to live and die naturally. A few years ago, Arjun had told me to think more deeply about it. And it had been several days before I went back to find them. Proud of myself, I told them that it was all about our place in the world. Not doing anything was like not existing, but we did exist. And human beings were part of nature. It was a mistake to think that we were separate from or above nature.

In nature, there's always a sweet spot between cooperation and competition to guarantee a healthy environment. And we have the perfect tool to find that sweet spot: the Skein. Through it, we can almost hear nature, and all its desires and complaints. And we can help it thrive. In a way, it's like we've agreed to be its agents. But I've always wondered why it's only the Muna that received this gift, and not all human beings. The cicadas sing under the olive trees, and I lift my straw hat to wipe my forehead.  I pick one more juicy tomato, which Arjun would definitely have appreciated. Come to think of it, I think I dreamed about them last night…"
e971c31c-3092-4202-8bfc-2ed5c454be2a,ALT_CYCLONE_A_OR_74_C,Character,"Sagitta, Soaring Leviathan",,"We moved aside to avoid the petulant snapping of its beak.",,ZHEN,"393 AC - I step out on deck as the sirens blare all around us. Soldiers and recruits rush to their stations, but many of them pause, open-mouthed, when they see the size of the Leviathan in front of us. And I can understand why… It's obviously a bird, a bird of prey, but its size… It could easily grab one of our transporters in its talons. I receive a string of information through the Gestalt: ""Sagittarius serpentarius"", ""Secretarybird"", ""Sagittariidae family""… I contact my own Raptors, and all of them reply with their ""Supero!"" to indicate they are ready. All of them are converging on the drop zone. I feel a gust of wind on my face as Zephyr lands near me.

For now, the Leviathan seems content to watch the transporters as they fight against the turbulence of its gigantic wings. Its instinctual curiosity is strong. But that curiosity could quickly become more tactile, especially if it becomes angry or playful. We may have reacted promptly, but we can't handle an adversary like this. All we can do is keep its attention and distract it from the other ships. I think of the various possible tactics and the different approach vectors. For now, senior command is adamant that we hold off on launching a barrage, but if that does become necessary, our operation will become even more difficult… I turn to my squad, which is now fully assembled. I don't need to give a speech. The task speaks for itself, and the stakes are obvious and clear. We don't have any other choice. Supero."
37108a09-0a97-4f51-ae46-e4edc02bbc44,ALT_CYCLONE_A_OR_78_C,Spell,"Ordis Signet",,"Unity, joined within spirits.",,UNKNOWN,"393 AC - ""United in the throng. This is the ultimate meaning of the Gestalt. It is the fruit of a harmonious, shared, immediate and permanent collaboration. Coalescence is the surrendering of individuality in favor of a coming together of multiple spirits. United, bare in thought. United, bare in emotion. United, staunch in fellowship. United, staunch in our virtues. The Gestalt breaks down distance, borders, physical obstacles and the limitations of the self. The Rhombus that marks our flesh is proof of our commitment, proof that we offer up our individuality to the greater good of the community. There is no stronger vow. Our affiliation is one of total devotion and self-sacrifice. When others become part of yourself, the idea of justice is obvious. When others become part of yourself, we can move mountains.""

I listen to the officiant as he faces the… congregation. I feel their communion in the melting pot of their shared mind, as their thoughts begin to resonate. There are a few soldiers, clerics, politicians, scribes, scholars and many other identities among them. I move through them like an undetectable wave. I can't help thinking of the entity of the City of Scholars, the one that ultimately strived for a union similar to the Gestalt. It was the city, and it wanted everyone to live in harmony. In it. Within it. I don't think anyone perceived that side of it. Its appetite wasn't driven by an instinct for destruction – quite the opposite, in fact. It was driven by a desire for unity, however flawed that desire was."
