ID,REFERENCE,TYPE,NAME,DATE,FLAVOR_TEXT,INSPIRATION,NARRATOR,STORY
c059714e-4ae8-4f84-a6b7-b86b69df54f7,ALT_CORE_A_AX_22_C,Spell,"Mechanical Training",,"Pour apprendre à créer, il faut d'abord apprendre à réparer.",,,
01899da7-70d4-3dbe-e328-d8e16e3370bd,ALT_CORE_A_AX_31_C,Token,Brassbug,,"“Krr. Krrrrr. Vrrrr, krr.”",,SIERRA,"389 AC - ""Je me trémousse sur ma chaise, mes écouteurs vissés sur mes oreilles. La musique d’Ankita Struna pulse dans mon casque, aussi rythmée qu’éthérée. Ma tasse de café fume sur mon établi, alors que la lumière du Soleil filtre à travers les stores de l’atelier. Devant moi, le plan de montage est déplié sur la table, et je l’étudie attentivement, tout en faisant tournoyer mes tournevis comme si c’était des baguettes de percussion. Du coin de l'œil, je vois un Brassbug grimper le long du pied de table, et s’installer sur mon plan de travail. Il m’observe avec curiosité, sa caméra zoomant en alternance sur moi et sur le diagramme que je suis en train de déchiffrer. Je retire mon casque et le mets autour de mon cou, scrutant le robot insectoïde avec un mélange d’étonnement et de perplexité.

Ce dernier observe longuement le schéma, comme pour l’analyser. Est-ce qu’il serait en train de s’ennuyer ? Il lève la tête et m’observe longuement. Je lève la jambe et fais résonner mon tournevis sur ma prothèse en métal. Le Brassbug semble soudain comprendre, et se met à disséquer davantage le plan, se mouvant de gauche à droite sur la table. Il scanne mon design, passe au crible les indications qui me permettront de me forger de nouvelles lames de course. Puis, semblant satisfait, il ouvre ses compartiments dorsaux pour me permettre d’accéder à toute une palanquée d’outils divers. Des vis à la bonne taille, des maillets de finition ; une visseuse kélonnique, une pierre à aiguiser… Je le remercie en tapotant doucement son dos, et lui pose mon casque sur le sommet de sa tête. Elle se met à dodeliner d’avant en arrière, au rythme de la musique, vraisemblablement au comble du bonheur."""
d72b9f2c-d775-4960-984d-8ea0331bf2f5,ALT_CORE_A_BR_26_C,Spell,"Physical Training",,"100 pompes, 100 abdos, 100 squats,10 km de course à pied et le désir de faire ses preuves : l'entraînement typique des Bravos. ",,,
8cfc7f61-8bcc-4987-a7da-0d4844d3f614,ALT_CORE_A_BR_31_C,Token,Booda,,,,,
e4d3a312-5ed8-40a9-81f6-d260e10eec2c,ALT_CORE_A_LY_22_C,Spell,"A Cappella Training",,"« Merci d'être mon métronome ! »",,,
9a672443-d871-4931-8ac9-e331df6b8101,ALT_CORE_A_MU_25_C,Spell,"Meditation Training",,"Ne pense pas que tu es, sache que tu es.",,,
9a08ad91-8eaa-4c0a-85ba-c83b87ffda1d,ALT_CORE_A_OR_24_C,Spell,"Teamwork Training",,"À travers leur Esprit-Ruche, les Ordis font de la multitude une seule et même volonté.",,,
a38897ba-37b2-4475-9519-546a913fe381,ALT_CORE_A_OR_31_C,Token,"Ordis Recruit",,,,,
e75a5746-f7da-4cf4-acaa-b628efaea889,ALT_CORE_A_YZ_19_C,Spell,"Magical Training",,"Sans pratique, le don d'Altération n'est rien.",,,
fd8beac6-89af-43ce-97b7-513982eb2ea5,ALT_CORE_A_YZ_31_C,Token,Maw,,,,,
