ID,REFERENCE,TYPE,NAME,DATE,FLAVOR_TEXT,INSPIRATION,NARRATOR,STORY
fcb1ee8a-1d34-44cb-9e99-e23e993e671a,ALT_ALIZE_A_AX_35_C,Character,"Vaike, Energy Pioneer",,"L'énergie et la persévérance surmontent tous les obstacles.",,,
29630b3e-b001-47aa-8b1f-69f8cbbcaa5f,ALT_ALIZE_A_AX_46_C,LANDMARK_PERMANENT,"Icebound Hollow",,"Depuis les grottes et les crevasses, il geint et nous appelle.",,,
5b61f800-94f4-41f4-afc8-35fb00c6e30f,ALT_ALIZE_A_BR_37_C,Character,"Gericht, Revered Duelist",,"« Ce qui ne te tue pas te rend plus fort. »",,,
4f04bb9f-7998-483e-b5d4-2f72b4575a0e,ALT_ALIZE_A_BR_46_C,LANDMARK_PERMANENT,"Icebound Peak",,"Au sommet, il attend. La liberté. La libération.",,,
ff555624-e3ed-46c0-ba5f-f308b2fb56c7,ALT_ALIZE_A_LY_34_C,Character,"Nyala, Gifted Conjurer",,"« Bien sûr que je triche. La magie, c'est de la triche. »",,,
88d544ba-0bc0-4af3-ba48-5de04a614c0f,ALT_ALIZE_A_LY_45_C,LANDMARK_PERMANENT,"Icebound Tundra",,"On peut entendre son écho résonner dans les vastes étendues.",,,
2c8a01a8-1329-40d2-a494-da2d9544d59b,ALT_ALIZE_A_MU_35_C,Character,"Saskia, Sly Naturalist",,"Parasitisme ou symbiose, la vie trouve toujours un moyen d'éclore.",,,
557434b2-cda2-48a4-8091-6cb79e2f085d,ALT_ALIZE_A_MU_45_C,LANDMARK_PERMANENT,"Icebound Taiga",,"On peut le percevoir dans le silence de la forêt, comme un frémissement.",,,
6f7e61a3-fd10-4b52-978f-a026f5f2dc99,ALT_ALIZE_A_OR_38_C,Character,"Sunisa, Dedicated Ensign",,"Progresser ou tenir, mais ne jamais reculer.",,,
5cce51b3-eb8a-4261-b8b0-bb085b79d374,ALT_ALIZE_A_OR_47_C,LANDMARK_PERMANENT,"Icebound Lake",,"Ses hurlements évoquent le tonnerre ou le craquement de la glace.",,,
44615823-8de5-4365-9482-beb9915356e6,ALT_ALIZE_A_YZ_36_C,Character,"Aroro, Savior of Asgartha",,"Même seule, elle parvint à dompter la marée.",,,
b96c109e-068a-47c4-9846-c569f50665a8,ALT_ALIZE_A_YZ_46_C,LANDMARK_PERMANENT,"Icebound Pass",,"On peut l'entendre gronder dans les cols enneigés.",,,
bc31200f-244b-4499-9205-0e580694fc72,ALT_ALIZE_B_AX_01_C,Hero,"Sierra & Oddball",,"« Existe-t-il meilleure récompense que de voir ses créations prendre vie ? »",,,"392 AC - Sous la surface huileuse du lac, des bulles irisées remontent lentement des profondeurs en grappes étranges, comme des milliers de méduses en train d'ondoyer. Elles se percutent, éclatent, s'assemblent, se subdivisent, avant de percer les eaux pâteuses en chuintant, éructant des miasmes colorés. Je sens partout autour de moi la pression du Tumulte, les idées qui sont relâchées à chaque gonflement qui se perce, et qui cherchent par tous les moyens à s'exprimer dans le monde. Clairement, il y a au fond de l'étendue lacustre quelque chose qui pulse. Peut-être une singularité du Tumulte, enfouie à des dizaines de mètres sous moi. Tout ce que je peux faire, c'est protéger mon embarcation de ses ravages, d'exciser une à une, grâce à mon Construct, les idées parasites qui se mettent à bourgeonner sur sa coque. La traversée va être ardue. Le moteur kélonique de la barque est en train de crachoter, lui aussi affecté par les idées qui le percutent.

J'espère que de son côté, Oddball parvient à se débrouiller. Je sonde le lointain, sentant sa psyché me répondre misérablement par quelques bips succincts. Je perçois grâce à mes propres sens à quel point sa carlingue est abîmée, infectée par des idées intruses. À travers notre lien, je matérialise à ses côtés l'Eidolon d'un Récupérateur. Mon Alter Ego ralentit, clairement soulagé de pouvoir bénéficier d'un arrêt au stand. Il aura bien besoin de ça pour requinquer son blindage. Je le laisse alors que j'entends les premiers bruits de soudure résonner dans la forêt crépusculaire où il évoluait jusque-là, slalomant entre les troncs d'arbre. De mon côté, je ne suis pas non plus tirée d'affaires. La navigation sur ces eaux poisseuses prend un temps faramineux, avec le risque qu'à tout moment, une bulle me fasse chavirer et basculer dans les flots sirupeux."
2ed0e328-1ae2-415e-9f9d-9bb9111b60ca,ALT_ALIZE_B_AX_03_C,Hero,"Subhash & Marmo",,"Les possibilités sont toujours infinies, même dans un monde aux ressources limitées. Tout dépend de la façon dont on choisit de les dépenser.",,,"392 AC - Je tends la main et saisis la clé à molette que Marmo tient dans sa gueule. Je resserre le dernier boulon en maugréant avant d'essuyer mes doigts plein de bave sur ma combinaison. Ok, l'heure de vérité. J'enclenche ma pile kélonique, et mon antenne dorsale se met à vrombir. Tout semble fonctionner comme sur des roulettes. Mon Alter Ego aboie, et je farfouille dans ma besace pour en tirer une friandise en forme de nonosse, avant de la lancer dans sa direction. Il a bien mérité une petite récompense. Tandis qu'il la mâchonne en grognant de plaisir, je réajuste mon casque sur ma tête, m'assurant bien de son étanchéité. En combinant mon Construct, j'appelle à moi une lampe torche, et darde sa lumière vers l'entrée de la caverne. Bon, il est temps de vérifier s'il y a du foutu Kélon dans ces boyaux. Et y a intérêt, j'en ai un peu marre de rentrer bredouille.

Alors que j'entre dans la grotte, je ne peux m'empêcher de la comparer à une gueule qui cherche à me dévorer. Franchement, j'ai pas envie de finir comme un biscuit de Marmo, broyé entre deux maxillaires. Devant moi, les effluves rosées du Tumulte s'écartent comme deux rideaux, chassés par les ondes de mon antenne. Marmo, quant à lui, gambade fièrement, nullement affecté par la brume ondoyante. Il s'en gave même à foison, tandis que je sens le Mana s'insuffler en lui comme une batterie en cours de charge. Je pianote sur mon Construct, matérialisant devant moi un Élémentaire de Kélon. L’axolotl apparaît, se met à humer l'air. S'il y a du Kélon dans les parages, il devrait réagir. Il devrait... Je le vois soudain s'élancer en avant. Ah ! Bingo. Je me mets à marcher à sa suite, saisissant ma pioche kélonique. Alors que je l'enclenche, le cylindre de Kélon qui l'alimente se met à pulser d'une lueur bleutée, maculant la cavité d'un éclat mauve."
